epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,775.151,1.48409,1.00378,0.96843,0.73566,0.56447,0.57555,0.31371,1.33222,0.73869,0.97677,0.00499619,0.00499619,0.00499619
2,1513.91,1.41672,0.73089,0.94842,0.74443,0.57779,0.59451,0.32454,1.34911,0.66797,0.99199,0.00979827,0.00979827,0.00979827
3,2255.01,1.37044,0.67422,0.94331,0.73485,0.60465,0.60918,0.3354,1.31013,0.64158,0.98086,0.009604,0.009604,0.009604
4,2993.81,1.3247,0.6367,0.93456,0.73335,0.59473,0.61815,0.34472,1.29802,0.60913,0.97949,0.009406,0.009406,0.009406
5,3732.16,1.29058,0.61486,0.92818,0.76555,0.60743,0.62474,0.35448,1.28202,0.58814,0.97385,0.009208,0.009208,0.009208
6,4470.97,1.26749,0.59648,0.92372,0.75737,0.60881,0.62218,0.35061,1.30479,0.58143,0.982,0.00901,0.00901,0.00901
7,5210.42,1.25052,0.58533,0.92022,0.76358,0.61421,0.63099,0.35503,1.27684,0.57219,0.97214,0.008812,0.008812,0.008812
8,5949.3,1.23455,0.57355,0.91902,0.7564,0.60642,0.62946,0.35669,1.27264,0.56228,0.9739,0.008614,0.008614,0.008614
9,6688.42,1.22106,0.5645,0.91631,0.76039,0.61496,0.63133,0.35612,1.27482,0.55499,0.97373,0.008416,0.008416,0.008416
10,7427.98,1.21118,0.55571,0.9139,0.76245,0.61562,0.63351,0.36032,1.26781,0.54361,0.97164,0.008218,0.008218,0.008218
11,8166.86,1.20148,0.55026,0.91245,0.77219,0.61658,0.63723,0.36239,1.27222,0.54589,0.97217,0.00802,0.00802,0.00802
12,8906.28,1.19388,0.54354,0.91012,0.77116,0.62489,0.63922,0.36486,1.25656,0.53362,0.96898,0.007822,0.007822,0.007822
13,9645.25,1.18588,0.5391,0.90921,0.76456,0.62076,0.63884,0.36235,1.27495,0.53323,0.97441,0.007624,0.007624,0.007624
14,10383.9,1.1787,0.53418,0.90762,0.76612,0.62775,0.64427,0.36686,1.25791,0.52928,0.96917,0.007426,0.007426,0.007426
